symbol,market_cap,dollar_vol,market_cap_effective,rank
NVDA,0,544827133.325,544827133.325,1
AAPL,0,294345766.94,294345766.94,2
TSLA,0,293323204.09000003,293323204.09000003,3
AMZN,0,290111847.15,290111847.15,4
MSFT,0,238601130.285,238601130.285,5
META,0,224205660.63,224205660.63,6
GOOGL,0,219068679.29,219068679.29,7
AVGO,0,169717868.82,169717868.82,8
AMD,0,141744336.135,141744336.135,9
PLTR,0,125124331.80000001,125124331.80000001,10
NFLX,0,120456911.69999999,120456911.69999999,11
GOOG,0,112241117.57,112241117.57,12
TSM,0,111958287.66999999,111958287.66999999,13
LLY,0,100757121.65,100757121.65,14
MU,0,90111884.72,90111884.72,15
BAC,0,84504641.43,84504641.43,16
UNH,0,80219956.065,80219956.065,17
ORCL,0,78922741.19999999,78922741.19999999,18
INTC,0,78388210.975,78388210.975,19
V,0,74906625.465,74906625.465,20
BKNG,0,73478029.5,73478029.5,21
CRM,0,70384575.75,70384575.75,22
APP,0,67230177.22,67230177.22,23
MSTR,0,63788308.75999999,63788308.75999999,24
GEV,0,63633282.315,63633282.315,25
XOM,0,63065911.25,63065911.25,26
NOW,0,62579217.025,62579217.025,27
MA,0,60750597.57,60750597.57,28
WMT,0,60293296.485,60293296.485,29
UBER,0,59047541.83499999,59047541.83499999,30
JPM,0,58967158.245,58967158.245,31
INTU,0,55068396.364999995,55068396.364999995,32
SPOT,0,52379583.765,52379583.765,33
TMO,0,51985616.355,51985616.355,34
COST,0,51825370.85,51825370.85,35
AMAT,0,50943695.6,50943695.6,36
ASML,0,50096314.57000001,50096314.57000001,37
WFC,0,49966010.405,49966010.405,38
CSCO,0,49574433.105000004,49574433.105000004,39
LRCX,0,47988355.8,47988355.8,40
CRWV,0,47636367.44,47636367.44,41
JNJ,0,47575687.43,47575687.43,42
HOOD,0,47033484.315,47033484.315,43
ADBE,0,46673677.365,46673677.365,44
BRK-B,0,45711630.33,45711630.33,45
MRVL,0,45336774.5,45336774.5,46
SNDK,0,45235341.0,45235341.0,47
KLAC,0,45216811.65,45216811.65,48
GS,0,44384949.769999996,44384949.769999996,49
C,0,44077706.425,44077706.425,50
GE,0,43673051.004999995,43673051.004999995,51
HD,0,43192572.225,43192572.225,52
BA,0,43190355.705,43190355.705,53
KO,0,43138615.42,43138615.42,54
CBRS,0,43011515.879999995,43011515.879999995,55
BABA,0,42838155.9,42838155.9,56
COIN,0,42348816.005,42348816.005,57
CAT,0,42176498.94,42176498.94,58
QCOM,0,41737006.23,41737006.23,59
TXN,0,41703768.565,41703768.565,60
ACN,0,39468811.019999996,39468811.019999996,61
LIN,0,39164544.8,39164544.8,62
MRK,0,38735496.489999995,38735496.489999995,63
VRT,0,38539495.894999996,38539495.894999996,64
NKE,0,38365094.965,38365094.965,65
ABBV,0,38362245.07,38362245.07,66
T,0,38266942.065,38266942.065,67
PG,0,37897068.510000005,37897068.510000005,68
TMUS,0,37740833.03,37740833.03,69
ETN,0,37739454.415,37739454.415,70
ANET,0,37531836.625,37531836.625,71
SNOW,0,37435207.910000004,37435207.910000004,72
PFE,0,37397216.085,37397216.085,73
CRWD,0,37259561.519999996,37259561.519999996,74
CEG,0,37241733.53,37241733.53,75
CVX,0,37171818.815,37171818.815,76
DHR,0,36959400.760000005,36959400.760000005,77
CVNA,0,36708194.15,36708194.15,78
VZ,0,36465213.8,36465213.8,79
SCHW,0,36305742.989999995,36305742.989999995,80
SHOP,0,35352660.72,35352660.72,81
DIS,0,35252840.33500001,35252840.33500001,82
PANW,0,35222928.22,35222928.22,83
SNPS,0,35185744.3,35185744.3,84
ISRG,0,35025107.605,35025107.605,85
IBM,0,34879273.30500001,34879273.30500001,86
MS,0,34749457.894999996,34749457.894999996,87
COF,0,34736373.28,34736373.28,88
BSX,0,34714972.815,34714972.815,89
SMCI,0,34328676.65,34328676.65,90
MCD,0,34195865.0,34195865.0,91
CMG,0,34023467.86,34023467.86,92
ADI,0,33929461.07,33929461.07,93
DASH,0,33822577.555,33822577.555,94
CMCSA,0,31843763.495,31843763.495,95
APH,0,31582162.545,31582162.545,96
VST,0,31575024.244999997,31575024.244999997,97
NEE,0,31395385.674999997,31395385.674999997,98
PEP,0,31380589.520000003,31380589.520000003,99
FCX,0,31330557.685,31330557.685,100
AXP,0,31050761.810000002,31050761.810000002,101
DE,0,30645127.71,30645127.71,102
SBUX,0,30463289.534999996,30463289.534999996,103
DELL,0,30297241.725,30297241.725,104
UNP,0,29933890.165,29933890.165,105
PYPL,0,29372570.41,29372570.41,106
PM,0,29210644.08,29210644.08,107
MDT,0,28113661.13,28113661.13,108
WDAY,0,27845276.48,27845276.48,109
PDD,0,27633627.42,27633627.42,110
BMY,0,27525033.915,27525033.915,111
SPGI,0,27253756.905,27253756.905,112
RCL,0,27208912.805,27208912.805,113
ELV,0,26922142.705,26922142.705,114
MCK,0,26918971.865000002,26918971.865000002,115
ABT,0,26912879.92,26912879.92,116
DDOG,0,26774481.71,26774481.71,117
RDDT,0,26511320.84,26511320.84,118
NU,0,26446171.442499995,26446171.442499995,119
GILD,0,26308203.560000002,26308203.560000002,120
COP,0,26219598.15,26219598.15,121
CDNS,0,26118130.25,26118130.25,122
SLB,0,25866039.314999998,25866039.314999998,123
NEM,0,25528376.119999997,25528376.119999997,124
AMGN,0,25483863.050000004,25483863.050000004,125
CVS,0,25382207.07,25382207.07,126
PGR,0,25319692.0,25319692.0,127
CSX,0,24960245.68,24960245.68,128
SYK,0,24958680.18,24958680.18,129
NVO,0,24871524.43,24871524.43,130
TT,0,24813266.869999997,24813266.869999997,131
