date,symbol,report_time,company_name,fiscal_quarter_ending,eps_forecast,estimate_count
2026-07-24,AFBI,not-supplied,"Affinity Bancshares, Inc.",Jun/2026,,2
2026-07-24,AXP,not-supplied,American Express Company,Jun/2026,$4.41,8
2026-07-24,AXR,not-supplied,AMREP Corporation,Apr/2026,,N/A
2026-07-24,BAH,not-supplied,Booz Allen Hamilton Holding Corporation,Jun/2026,$1.49,5
2026-07-24,BVFL,not-supplied,"BV Financial, Inc.",Jun/2026,,N/A
2026-07-24,BXBL,not-supplied,"BOXABL, Inc.",Jun/2026,,2
2026-07-24,CHTR,not-supplied,"Charter Communications, Inc.",Jun/2026,$9.96,8
2026-07-24,CNI,not-supplied,Canadian National Railway Company,Jun/2026,$1.39,8
2026-07-24,COFS,not-supplied,"ChoiceOne Financial Services, Inc.",Jun/2026,$0.88,3
2026-07-24,CPF,not-supplied,CPB Inc.,Jun/2026,$0.78,3
2026-07-24,CRI,not-supplied,"Carter's, Inc.",Jun/2026,$0.02,2
2026-07-24,E,not-supplied,ENI S.p.A.,Jun/2026,$1.90,2
2026-07-24,EAF,not-supplied,GrafTech International Ltd.,Jun/2026,($1.49),2
2026-07-24,FCAP,not-supplied,"First Capital, Inc.",Jun/2026,,N/A
2026-07-24,FHB,not-supplied,"First Hawaiian, Inc.",Jun/2026,$0.60,2
2026-07-24,FLG,not-supplied,"Flagstar Bank, N.A.",Jun/2026,$0.06,8
2026-07-24,FRAF,not-supplied,Franklin Financial Services Corporation,Jun/2026,,N/A
2026-07-24,GNTX,not-supplied,Gentex Corporation,Jun/2026,$0.50,3
2026-07-24,GRC,not-supplied,Gorman-Rupp Company (The),Jun/2026,$0.69,1
2026-07-24,HCA,not-supplied,"HCA Healthcare, Inc.",Jun/2026,$7.57,2
2026-07-24,IMMR,not-supplied,Immersion Corporation,Apr/2026,$0.05,1
2026-07-24,LBTYA,not-supplied,Liberty Global Ltd.,Jun/2026,($0.31),1
2026-07-24,LBTYB,not-supplied,Liberty Global Ltd.,Jun/2026,,N/A
2026-07-24,LBTYK,not-supplied,Liberty Global Ltd.,Jun/2026,,N/A
2026-07-24,LW,not-supplied,"Lamb Weston Holdings, Inc.",May/2026,$0.62,5
2026-07-24,MCBS,not-supplied,"MetroCity Bankshares, Inc.",Jun/2026,,N/A
2026-07-24,NDLS,not-supplied,Noodles & Company,Jun/2026,,N/A
2026-07-24,NECB,not-supplied,"NorthEast Community Bancorp, Inc.",Jun/2026,$0.77,1
2026-07-24,NEE,not-supplied,"NextEra Energy, Inc.",Jun/2026,$1.09,5
2026-07-24,NXTT,not-supplied,Next Technology Holding Inc.,Jun/2026,,N/A
2026-07-24,OPHC,not-supplied,"OptimumBank Holdings, Inc.",Jun/2026,$0.20,1
2026-07-24,PAMT,not-supplied,PAMT CORP,Jun/2026,,2
2026-07-24,PDLB,not-supplied,"Ponce Financial Group, Inc.",Jun/2026,$0.37,1
2026-07-24,RBCAA,not-supplied,"Republic Bancorp, Inc.",Jun/2026,$1.55,1
2026-07-24,SBSI,not-supplied,"Southside Bancshares, Inc.",Jun/2026,$0.88,2
2026-07-24,SLB,not-supplied,SLB Limited,Jun/2026,$0.51,9
2026-07-24,SXT,not-supplied,Sensient Technologies Corporation,Jun/2026,$1,1
2026-07-24,TMP,not-supplied,Tompkins Financial Corporation,Jun/2026,$1.80,1
2026-07-24,ULH,after-hours,"Universal Logistics Holdings, Inc.",Jun/2026,$0.13,1
2026-07-24,VZ,not-supplied,Verizon Communications Inc.,Jun/2026,$1.27,8
2026-07-24,WF,not-supplied,Woori Bank,Jun/2026,,N/A
2026-07-24,WRLD,not-supplied,World Acceptance Corporation,Jun/2026,,N/A
2026-07-26,BKR,not-supplied,Baker Hughes Company,Jun/2026,$0.51,6
2026-07-27,AGYS,after-hours,"Agilysys, Inc.",Jun/2026,$0.25,4
2026-07-27,AMKR,after-hours,"Amkor Technology, Inc.",Jun/2026,$0.47,3
2026-07-27,APLD,after-hours,Applied Digital Corporation,May/2026,($0.18),3
2026-07-27,ARLP,pre-market,"Alliance Resource Partners, L.P.",Jun/2026,$0.62,2
2026-07-27,AZN,pre-market,AstraZeneca PLC,Jun/2026,$2.50,2
2026-07-27,BCAL,not-supplied,California BanCorp,Jun/2026,$0.41,1
2026-07-27,BLX,after-hours,"Bladex, Inc.",Jun/2026,,4
2026-07-27,BMRC,pre-market,Bank of Marin Bancorp,Jun/2026,$0.52,4
2026-07-27,BOH,pre-market,Bank of Hawaii Corporation,Jun/2026,$1.46,4
2026-07-27,BRO,after-hours,"Brown & Brown, Inc.",Jun/2026,$1.08,6
2026-07-27,BRX,after-hours,Brixmor Property Group Inc.,Jun/2026,$0.58,6
2026-07-27,BSRR,not-supplied,Sierra Bancorp,Jun/2026,$0.89,4
2026-07-27,CBK,after-hours,"Commercial Bancgroup, Inc.",Jun/2026,,4
2026-07-27,CBNA,not-supplied,"Chain Bridge Bancorp, Inc.",Jun/2026,$1.32,2
2026-07-27,CBNK,not-supplied,"Capital Bancorp, Inc.",Jun/2026,$0.83,1
2026-07-27,CDNS,after-hours,"Cadence Design Systems, Inc.",Jun/2026,$1.62,7
2026-07-27,CDP,after-hours,COPT Defense Properties,Jun/2026,$0.68,1
2026-07-27,CHRN,not-supplied,ChronoScale Holdings Corporation,Jun/2026,($0.06),1
2026-07-27,CINF,after-hours,Cincinnati Financial Corporation,Jun/2026,$1.82,6
2026-07-27,CLS,after-hours,"Celestica, Inc.",Jun/2026,$2.12,3
2026-07-27,CSBR,after-hours,"Champions Oncology, Inc.",Apr/2026,,4
2026-07-27,CZWI,not-supplied,"Citizens Community Bancorp, Inc.",Jun/2026,$0.41,2
2026-07-27,DYN,not-supplied,"Dyne Therapeutics, Inc.",Jun/2026,($0.74),8
2026-07-27,ESI,after-hours,Element Solutions Inc.,Jun/2026,$0.43,3
2026-07-27,FFIV,after-hours,"F5, Inc.",Jun/2026,$3.04,6
2026-07-27,FMAO,not-supplied,"Farmers & Merchants Bancorp, Inc.",Jun/2026,$0.67,3
2026-07-27,FSUN,after-hours,FIRSTSUN CAPITAL BANCORP,Jun/2026,$0.17,2
2026-07-27,GABC,not-supplied,"German American Bancorp, Inc.",Jun/2026,$0.92,4
2026-07-27,GOVX,not-supplied,"GeoVax Labs, Inc.",Jun/2026,($2.15),2
2026-07-27,GRFS,not-supplied,"Grifols, S.A.",Jun/2026,$0.28,1
2026-07-27,HAPN,after-hours,"Happen, Inc.",Jun/2026,$0.42,2
2026-07-27,HBT,pre-market,"HBT Financial, Inc.",Jun/2026,$0.74,4
2026-07-27,HIT,not-supplied,"Health In Tech, Inc.",Jun/2026,($0.03),1
2026-07-27,HLIT,not-supplied,Harmonic Inc.,Jun/2026,$0.13,5
