ticker,name,sector,cap_tier,avg_volume,exchange
NVDA,NVIDIA Corporation,Technology,Mega-Cap,158961883,NMS
GOOGL,Alphabet Inc.,Communication Services,Mega-Cap,31501941,NMS
AAPL,Apple Inc.,Technology,Mega-Cap,53938116,NMS
MSFT,Microsoft Corporation,Technology,Mega-Cap,39838170,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Mega-Cap,50924132,NMS
AVGO,Broadcom Inc.,Technology,Mega-Cap,26487914,NMS
TSLA,"Tesla, Inc.",Consumer Cyclical,Mega-Cap,55521006,NMS
META,"Meta Platforms, Inc.",Communication Services,Mega-Cap,17209111,NMS
MU,"Micron Technology, Inc.",Technology,Mega-Cap,51299314,NMS
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Mega-Cap,5148190,NYQ
LLY,Eli Lilly and Company,Healthcare,Mega-Cap,3259633,NYQ
JPM,JP Morgan Chase & Co.,Financial Services,Mega-Cap,8961804,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Mega-Cap,36853079,NMS
WMT,Walmart Inc.,Consumer Defensive,Mega-Cap,21479975,NMS
ASML,ASML Holding N.V. - New York Re,Technology,Mega-Cap,1930503,NMS
V,Visa Inc.,Financial Services,Mega-Cap,8014332,NYQ
INTC,Intel Corporation,Technology,Mega-Cap,136578862,NMS
JNJ,Johnson & Johnson,Healthcare,Mega-Cap,8137279,NYQ
XOM,Exxon Mobil Corporation,Energy,Mega-Cap,18013467,NYQ
AMAT,"Applied Materials, Inc.",Technology,Mega-Cap,8852954,NMS
LRCX,Lam Research Corporation,Technology,Mega-Cap,10887143,NMS
MA,Mastercard Incorporated,Financial Services,Mega-Cap,3818246,NYQ
CSCO,"Cisco Systems, Inc.",Technology,Mega-Cap,24354501,NMS
CAT,"Caterpillar, Inc.",Industrials,Mega-Cap,2958243,NYQ
ABBV,AbbVie Inc.,Healthcare,Mega-Cap,7100524,NYQ
BAC,Bank of America Corporation,Financial Services,Mega-Cap,35987654,NYQ
ORCL,Oracle Corporation,Technology,Mega-Cap,28838512,NYQ
COST,Costco Wholesale Corporation,Consumer Defensive,Mega-Cap,2262496,NMS
GE,GE Aerospace,Industrials,Mega-Cap,5734758,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Mega-Cap,7610195,NYQ
ARM,Arm Holdings plc,Technology,Mega-Cap,11015990,NMS
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Mega-Cap,4811651,NYQ
KO,Coca-Cola Company (The),Consumer Defensive,Mega-Cap,16505075,NYQ
KLAC,KLA Corporation,Technology,Mega-Cap,11836762,NMS
PG,Procter & Gamble Company (The),Consumer Defensive,Mega-Cap,8919203,NYQ
MS,Morgan Stanley,Financial Services,Mega-Cap,5898037,NYQ
CVX,Chevron Corporation,Energy,Mega-Cap,10106243,NYQ
HSBC,"HSBC Holdings, plc.",Financial Services,Mega-Cap,1680548,NYQ
NFLX,"Netflix, Inc.",Communication Services,Mega-Cap,41553940,NMS
MRK,"Merck & Company, Inc.",Healthcare,Mega-Cap,10419327,NYQ
GEV,GE Vernova Inc.,Industrials,Mega-Cap,2718451,NYQ
